"Site","Management URL","Site Check","Manager","Analytics & SEO ProfileID","Reporting Analytics","SEO","Google Ads GAdsID","Reporting GAds","Budget Mensuel","Budget Fixe","Google Merchants Center GMCID","Suivi Shopping"
"Accessoires Asus","https://www.accessoires-asus.com/","Oui","Arnaud","98802494","Oui","Oui","640-144-6914","Oui","2 200,00 €","Oui","10840734","Oui"
"Accessoires Asus Rog","https://www.accessoires-asus-rog.com/","Oui","Arnaud","110703467","Oui","Oui","509-597-0430","Oui","80,00 €","Non","114887684","Oui"
"AdMobili","https://www.admobili.fr","Non","Arnaud","26027592","Non","Non","629-444-5604","Oui","300,00 €","Non","","Non"
"Allomat","https://www.allomat.fr/","Oui","Kévin","14695919","Oui","Oui","477-331-1680","Oui","8 000,00 €","Non","119916878","Oui"
"Anjou connectique","https://www.anjou-connectique.com/","Oui","Maeva,Kévin","138720741","Oui","Oui","875-143-1176","Oui","4 000,00 €","Oui","10140262","Oui"
"Arbre Vert","https://www.arbrevert.fr/","Non","Florent","95155666","Non","Non","642-859-7026","Non","","Non","","Non"
"Armenak","https://www.armenak.fr","Oui","Arnaud","157546197","Non","Non","379-903-9339","Oui","500,00 €","Oui","129653827","Oui"
"Asus Accessories (USA)","https://www.asus-accessories.com/","Oui","Arnaud","133283344","Oui","Oui","302-698-8394","Oui","1 200,00 €","Oui","114887570","Oui"
"Audit Consulting Group","https://www.audit-consulting-group.com/","Oui","Gaelle,Kevin","","Non","Non","521-213-9047","Oui","500,00 €","Oui","","Non"
"Barebone Factory","https://www.barebonefactory.fr/","Non","","124352177","Non","Non","656-024-0845","Non","500,00 €","Non","","Non"
"Bazile","https://www.bazile.fr/","Non","","4257890","Non","Non","","Non","","Non","","Non"
"Calisson","https://www.calisson.com/","Oui","Kevin","108769481","Oui","Non","299-164-0000","Oui","","Non","126814716","Oui"
"Cookson CLAL","https://www.cookson-clal.com/","Oui","Arnaud, Florent","50911048","Oui","Non","194-303-6324","Oui","9 000,00 €","Oui","16869911","Oui"
"Cyalume","https://www.cyalume.eu","Non","Florent","110569628","Non","Non","","Non","","Non","","Non"
"Cyclable","https://www.cyclable.com/","Non","","87576188","Non","Non","","Non","","Non","","Non"
"DigDash","https://www.digdash.com/","Oui","Florent,Maeva,Arnaud","103871936","Oui","Oui","370-549-8248","Oui","1 500,00 €","Oui","","Non"
"Etyo","https://www.etyo.fr/","Non","Christine","164559050","Non","Non","","Non","","Non","","Non"
"ESHE","https://formation-hypnose-eshe.fr/","Oui","Kevin,Arnaud","115143231","Oui","Oui","714-411-6335","Oui","1 200,00 €","Oui","","Non"
"Fabulous Island","https://www.fabulous-island.com/","Non","Melody","","Non","Non","","Non","","Non","","Non"
"Hôtel Le Marcel","https://www.lemarcelhotel.com/","Non","","53696939","Non","Non","","Non","","Non","","Non"
"Ipone","https://www.ipone.fr/","Non","","93352397","Non","Non","","Non","","Non","","Non"
"JoliEssence","https://www.joliessence.com/","Non","","76832352","Non","Non","","Non","","Non","","Non"
"La Grande Boutique","https://www.lagrandeboutique.net/","Oui","Florent","112749836","Oui","Oui","333-775-9764","Oui","2 500,00 €","Oui","121190175","Oui"
"Le Volet","https://www.le-volet.fr/","Non","Maeva,Kevin","107514470","Non","Non","914-318-0072","Non","1 000,00 €","Non","","Non"
"Maison Brémond","https://www.mb-1830.com/","Oui","Kevin","120708945","Oui","Oui","314-073-7434","Oui","","Non","","Non"
"Maison RC","https://www.maisonrc.com/","Oui","Kevin,Lucas","176255370","Oui","Non","192-216-6200","Oui","","Non","","Non"
"MDS Paris","https://www.mds-paris.com/","Non","","96812063","Non","Non","851-602-1893","Non","","Non","","Non"
"Mercadier","https://mercadier.fr/","Non","","14460396","Non","Non","513-093-9761","Non","","Non","","Non"
"Microview","https://www.microview.fr","Non","Arnaud","91236811","Non","Non","516-481-1802","Non","500,00 €","Non","125971197","Non"
"MindFruits.biz","https://www.mindfruits.biz/","Oui","Florent,Guillaume","85715431","Oui","Oui","","Non","","Non","","Non"
"Mondial Piscine","https://www.mondial-piscine.eu/","Non","","31624900","Non","Non","519-296-5327","Non","1 000,00 €","Non","","Non"
"Oncle Web","https://www.oncle-web.com","Oui","Florent,Guillaume","80919322","Oui","Oui","395-922-0563","Non","","Non","","Non"
"Ondilo","https://ondilo.com/","Oui","Florent,Kevin","","Non","Non","","Non","","Non","","Non"
"Orphée","https://www.orphee.fr/","Oui","Gaelle, Kevin","","Non","Non","178-035-9638","Oui","500,00 €","Oui","","Non"
"PCW","https://www.pcw.fr/","Non","Arnaud","94651588","Non","Non","126-625-4331","Non","1 500,00 €","Non","100074322","Non"
"Pool Planet","https://www.poolplanet.com/","Oui","Arnaud,Florent,Maeva","118657815","Oui","Oui","640-509-8137","Oui","1 000,00 €","Oui","10436713","Oui"
"PrepaCP","https://www.prepacp.fr/","Oui","Kevin,Thomas","","Non","Non","","Non","","Non","","Non"
"Provence Services","https://www.provenceservices.com/","Oui","Kevin,Lucas","100867726","Oui","Non","502-987-3489","Oui","500,00 €","Oui","","Non"
"Reine Jeanne","https://www.reine-jeanne.com/","Non","Kevin","","Non","Non","","Non","","Non","","Non"
"RDrone Shop","https://www.rdrone-shop.com/","Non","","129618778","Non","Non","","Non","","Non","","Non"
"Richardson","https://www.richardson.fr/","Non","Kevin,Florent","11862003","Non","Non","","Non","","Non","","Non"
"Riluxa","https://www.riluxa.com/","Oui","Kevin","168458946","Oui","Non","362-056-7697","Oui","8 000,00 €","Oui","121211628","Oui"
"Seven's","https://boutiques-sevens.com/","Oui","Arnaud","70700413","Non","Non","221-062-5916","Oui","1 000,00 €","Oui","","Non"
"Smallmx","https://www.smallmx.com/","Oui","Kevin,Florent","52048612","Oui","Oui","647-576-0039","Oui","7 000,00 €","Non","103630148","Oui"
"SMS Envoi","https://www.smsenvoi.com/","Non","","5032948","Non","Non","740-260-4182","Non","3 000,00 €","Non","","Non"
"Sneackers-Feel","https://www.sneackers-feel.fr/","Non","","138988011","Non","Non","","Non","","Non","","Non"
"Sodetram","https://sodetram.com/","Non","","86327204","Non","Non","210-649-6787","Non","","Non","","Non"
"Vetalia","https://www.vetalia.com","Oui","Arnaud,Florent","9876306","Oui","Oui","251-039-0274","Oui","1 500,00 €","Oui","","Non"
"Yes We Sun","https://www.yeswesun.net/","Non","Maeva","170708263","Non","Non","","Non","","Non","","Non"
